1817,451,6154.4,0.98896,0.56267,1
1244,305,4784.5,0.98484,0.72244,1
1170,290,3694.6,0.98972,0.57627,1
1255,303,4020.1,0.98963,0.57893,1
1824,470,6271.6,0.9881,0.57326,1
1156,286,3671.3,0.98907,0.58205,1
1154,286,3682,0.98874,0.59086,1
949,233,2848,0.99016,0.57254,1
1234,322,4168.6,0.98601,0.57684,1
1562,397,5197.8,0.98865,0.56705,1
1181,270,3744.1,0.98917,0.68801,1
1167,303,3675.6,0.98791,0.60097,1
1829,496,6196,0.98911,0.53049,1
1876,457,5863.4,0.99063,0.57978,1
1166,299,3493.5,0.99017,0.53034,1
1807,442,6110.9,0.9894,0.58297,1
1382,345,4430.7,0.98915,0.61129,1
1833,409,5919.9,0.98997,0.63556,1
1368,408,4734.8,0.98216,0.49843,1
1717,420,7403.5,0.98632,0.57663,1
1562,476,4948.1,0.98344,0.47867,1
1176,330,3563.4,0.98756,0.50662,1
1177,257,3673.5,0.98924,0.73219,1
1240,288,4485.4,0.98784,0.67371,1
1179,291,3479.9,0.99056,0.54697,1
1118,289,3262.2,0.99095,0.51889,1
1549,377,4970.4,0.9897,0.60484,1
1853,459,5864.3,0.98978,0.59591,1
1149,315,3660.8,0.98726,0.54913,1
1173,283,3762.7,0.98908,0.62539,1
1530,362,5111.7,0.98833,0.64391,1
1549,380,4907.7,0.98977,0.599,1
1342,374,4366.1,0.98404,0.56321,1
1148,342,3928.9,0.98143,0.52249,1
1161,296,3724.7,0.98747,0.60199,1
1499,383,4932.3,0.98624,0.59928,1
1173,297,3613,0.98843,0.61372,1
1543,429,4665.8,0.98797,0.49715,1
1138,263,3522.9,0.98482,0.85559,1
1574,377,4843.4,0.99072,0.5964,1
1561,503,5085.8,0.98035,0.45958,1
1838,432,7306.5,0.98876,0.66869,1
1541,388,5084.5,0.99042,0.55682,1
1160,287,3290.5,0.99049,0.54925,1
1156,282,3868,0.98874,0.59754,1
1528,373,4420.4,0.98893,0.59011,1
1528,373,4448.5,0.98891,0.59099,1
1219,333,4218.8,0.98642,0.52992,1
1821,433,6494.2,0.98804,0.65406,1
1262,334,4339.4,0.9869,0.5769,1
1535,366,4671.1,0.989,0.62903,1
1367,333,4672.3,0.98789,0.62258,1
1247,309,4132.3,0.98725,0.59487,1
1165,335,3728.9,0.98431,0.55394,1
1152,279,3842,0.98859,0.60903,1
1175,285,3693.2,0.99056,0.57411,1
1561,365,4785.9,0.9901,0.59674,1
1160,269,3802.7,0.98965,0.62519,1
1010,277,2970.2,0.98678,0.53905,1
1103,295,3668.2,0.98758,0.57861,1
1869,478,6048.5,0.98889,0.57183,1
989,232,3201.3,0.98865,0.6417,1
1171,290,3631.6,0.98982,0.58923,1
1563,355,5117.6,0.98908,0.66928,1
1139,292,3821.1,0.98856,0.5771,1
1173,311,3667.9,0.98839,0.57115,1
1545,421,4763.6,0.9885,0.52625,1
1389,449,4961.6,0.97957,0.45957,1
1513,439,5368.4,0.98466,0.5151,1
1161,294,3777.2,0.98734,0.61656,1
1240,304,4163.6,0.98928,0.59125,1
1146,409,3840.2,0.98009,0.60415,0
995,335,3516,0.9772,0.70988,0
1118,387,3527.8,0.98004,0.64002,0
1177,398,4002.6,0.97725,0.69254,0
987,285,3121,0.97393,1.0174,0
1162,431,3845.4,0.97806,0.62082,0
1178,413,3760.9,0.97916,0.66148,0
1142,376,3543.2,0.97879,0.64869,0
1164,382,4036.7,0.97593,0.78288,0
1117,411,3432.3,0.97908,0.58528,0
1144,411,3930.4,0.97478,0.66789,0
1119,407,3678.7,0.97861,0.63572,0
1483,527,5018.3,0.97921,0.61936,0
1533,517,4711.3,0.97893,0.64843,0
1209,391,3950.8,0.9798,0.64932,0
1192,453,4327,0.97937,0.56741,0
1353,460,4637.2,0.97838,0.65738,0
1140,401,3540.9,0.98093,0.60009,0
960,274,2994.3,0.9807,0.87468,0
1175,401,4144.7,0.97584,0.71374,0
964,362,3372.5,0.97604,0.6224,0
1269,428,4166.2,0.98006,0.65402,0
1156,408,3488.8,0.98174,0.58577,0
1509,545,4835.8,0.97908,0.61762,0
1532,551,5169.9,0.97948,0.58518,0
1507,539,4784.1,0.97991,0.57494,0
1514,563,4673.4,0.98122,0.55326,0
1483,522,5095,0.97797,0.63388,0
1483,511,4982.5,0.97925,0.62911,0
970,352,2919.1,0.98133,0.5703,0
1827,667,6289.9,0.97945,0.56847,0
1180,417,3714.5,0.98092,0.60528,0
1480,551,4807.4,0.97382,0.5741,0
1114,396,3476.3,0.97747,0.61299,0
1144,392,3649.7,0.9803,0.64421,0
1148,404,3799.8,0.97927,0.63473,0
1524,499,5139.5,0.97932,0.70028,0
1162,379,4090.4,0.9788,0.67895,0
1350,451,4827.3,0.97898,0.67297,0
981,353,3456.9,0.97304,0.69169,0
1001,301,3188.7,0.97935,0.86551,0
1126,380,3809.8,0.97833,0.66936,0
1465,492,4918.5,0.97879,0.68959,0
1205,442,3841.1,0.97438,0.56547,0
988,355,3241,0.97728,0.65958,0
1524,567,4716.1,0.97997,0.57428,0
1173,409,3668.6,0.98078,0.62661,0
976,373,3006.3,0.97867,0.55725,0
1098,393,3681.2,0.9791,0.64024,0
1487,502,4556.6,0.9802,0.66804,0
1501,500,4785.8,0.97664,0.62883,0
1134,367,3843,0.98025,0.67755,0
1318,477,4128.2,0.97844,0.58517,0
1161,411,4037.5,0.97936,0.61463,0
1510,542,5029.1,0.97983,0.6151,0
1279,458,4100.4,0.98016,0.60229,0
1154,412,3704.7,0.97945,0.62297,0
1171,418,3713.1,0.98008,0.59049,0
996,335,3144.2,0.97914,0.70624,0
1174,423,3911.7,0.97782,0.632,0
1158,410,3889.4,0.97812,0.62698,0
1004,370,3237.3,0.97899,0.60759,0
1347,501,4356.7,0.97928,0.59946,0
1479,534,5188.9,0.97656,0.64275,0
1155,414,3828.6,0.98078,0.60012,0
1002,374,3172.6,0.97855,0.58456,0
1157,419,3737.2,0.97952,0.61151,0
1358,495,4473.4,0.97872,0.62817,0
1011,371,3539.3,0.976,0.64057,0
1158,399,4133.6,0.97942,0.64396,0
1127,368,3739.7,0.97964,0.6745,0
1125,368,3523.3,0.97806,0.69194,0
952,341,3398.4,0.97463,0.64893,0
1172,387,3641.6,0.98049,0.62367,0
973,344,3171.4,0.97857,0.66547,0
1108,380,3637.6,0.97625,0.60597,0
1179,403,3593,0.98087,0.63298,0
1151,410,3890.9,0.97802,0.66174,0
992,319,3286.8,0.97902,0.73228,0
997,317,3369,0.97683,0.77173,0
1163,440,3741.1,0.97712,0.54883,0
1147,414,3605.5,0.97672,0.56285,0
1157,384,3851.5,0.97966,0.67273,0
1128,351,3617.9,0.9846,0.51593,4
1157,388,3844.9,0.97834,0.53693,4
1143,355,3966,0.97568,0.63609,4
1155,362,3749,0.9795,0.57668,4
1149,391,3869.7,0.97801,0.52091,4
1147,370,3987.9,0.97829,0.56496,4
1160,396,4041.9,0.97796,0.49218,4
1151,381,3797.5,0.97924,0.54428,4
1162,382,3873.6,0.97906,0.5466,4
1135,341,3612.9,0.98137,0.60067,4
1360,442,4463.9,0.9835,0.56049,4
1174,324,3438.6,0.9827,0.59173,4
1334,403,4176,0.98467,0.55069,4
1434,472,4733.6,0.97921,0.53615,4
1241,405,4003.6,0.98335,0.5587,4
1155,362,3604.6,0.98449,0.52566,4
